"timestamp","run_id","architecture","partitions","target_rate","replication","synthetic_cost_us","persistence","events","seconds","throughput","mean_us","p50_us","p95_us","p99_us","max_us","cpu_avg","cpu_peak","mem_avg_mb","mem_peak_mb","gc_gen0","gc_gen1","gc_gen2","allocated_mb","windows","digest_hash","warmup_events","measured_events","windows_written","windows_dropped","producer_achieved_rate","producer_jitter_ms","broker_cpu_avg","broker_cpu_peak","broker_mem_avg_mb","broker_mem_peak_mb","db_cpu_avg","db_cpu_peak","db_mem_avg_mb","db_mem_peak_mb","warmup_seconds","measure_seconds","commit"
"2026-09-23T08:06:00.4508942+00:00","a801ae78-9c26-4f58-b007-5cd6b938d067","kafka-channels","4","10000","1","0","1","1000000","89.937","10000.4","3384.7","3349","5783","6107","26319","16.9","86.5","72.3","77.7","93","8","1","834","263875","0E72CBF60A5BBB63","100590","899410","263875","0","9999.9","4.56","45.0","51.3","1375.4","1513.0","1.3","1.8","200.1","200.6","10","90","25fa684"
"2026-09-23T08:07:59.5323769+00:00","fa94dd7a-014d-4c92-b7ee-bc373900fbed","rabbitmq-direct","4","10000","4","0","1","1000000","89.983","10000.0","930.4","821","1367","2513","41823","27.2","135.8","63.3","68.6","78","8","1","704","263875","0E72CBF60A5BBB63","100165","899835","263875","0","9999.9","23.72","191.8","212.6","148.1","220.3","1.6","2.7","200.2","200.9","10","90","25fa684"
"2026-09-23T08:10:02.2683294+00:00","8909ab7a-6338-47ab-91a3-21d4cebd86aa","kafka-direct","4","20000","5","0","1","2000000","89.915","20008.2","25017.1","24975","44959","48255","54399","17.2","74.4","73.7","78.8","185","10","1","1663","527750","CF55C698510651DB","200972","1799028","527750","0","19995.9","5.28","48.7","55.2","1373.9","1491.0","1.9","2.8","200.4","201.0","10","90","25fa684"
"2026-09-23T08:12:05.1546813+00:00","a14347ed-a042-466d-8f39-543dbaa86f4a","kafka-channels","4","5000","1","0","1","500000","89.952","5001.4","25533.1","25519","45695","49119","54751","14.2","92.9","71.0","76.6","46","4","1","420","131929","4B1DFA8C2E5A4D13","50115","449885","131929","0","4999.0","5.46","45.1","56.6","1352.1","1398.4","0.8","1.5","200.9","204.9","10","90","25fa684"
"2026-09-23T08:14:04.4115602+00:00","dd8e8dd6-c449-4d73-b137-c41084ff11bc","rabbitmq-direct","4","10000","3","0","1","1000000","89.982","10000.1","919.3","818","1372","2509","38143","25.8","111.5","63.1","68.5","78","8","1","704","263875","0E72CBF60A5BBB63","100174","899826","263875","0","9999.9","24.15","182.9","207.9","139.3","143.8","1.6","2.3","200.5","206.8","10","90","25fa684"
"2026-09-23T08:16:06.9560544+00:00","6cac1cad-3169-4f3a-bb6f-4b2ab8579e68","kafka-direct","4","5000","2","0","1","500000","89.894","5002.1","25479.8","25455","45695","49055","54911","11.6","62.0","71.5","75.8","46","4","1","420","131929","4B1DFA8C2E5A4D13","50345","449655","131929","0","4999.6","5.05","46.7","54.0","1339.2","1492.5","0.9","1.7","200.0","200.4","10","90","25fa684"
"2026-09-23T08:18:06.2083470+00:00","fd2c0efa-9657-42e8-8608-b34e4e702aa4","rabbitmq-direct","4","5000","2","0","1","500000","89.983","5000.0","946.4","736","1159","2083","157567","28.6","92.7","62.5","68.2","42","4","1","381","131929","4B1DFA8C2E5A4D13","50085","449915","131929","0","5000.0","20.01","177.6","191.8","150.7","218.5","1.0","1.9","200.1","200.7","10","90","25fa684"
"2026-09-23T08:20:08.7910334+00:00","fe5e2b3e-55f9-4276-9c1e-5db89911a983","kafka-direct","4","5000","4","0","1","500000","89.945","5000.1","3534.4","3431","5939","6355","63359","10.6","61.9","71.1","76.9","46","4","1","420","131929","4B1DFA8C2E5A4D13","50266","449734","131929","0","4999.9","4.76","41.2","60.0","1341.8","1506.2","0.9","1.5","200.1","200.7","10","90","25fa684"
"2026-09-23T08:22:08.1712150+00:00","0f7d9cf6-a461-4db3-8624-362b88550e4f","rabbitmq-direct","4","10000","2","0","1","1000000","89.983","10000.0","993.4","823","1413","4119","39807","27.5","98.7","63.0","68.6","78","7","1","704","263875","0E72CBF60A5BBB63","100171","899829","263875","0","9999.9","23.49","187.4","201.7","147.4","215.0","1.5","2.4","200.3","201.0","10","90","25fa684"
"2026-09-23T08:24:10.7275786+00:00","96008ff7-ec16-4297-ac7c-7af177e70d33","kafka-pipelines","4","5000","5","0","1","500000","89.903","5000.9","25588.3","25583","45695","49087","62687","14.4","86.6","74.6","79.5","46","4","1","420","131929","4B1DFA8C2E5A4D13","50400","449600","131929","0","4998.6","5.59","46.5","51.8","1334.1","1441.4","0.9","1.6","200.1","201.7","10","90","25fa684"
"2026-09-23T08:26:13.5676078+00:00","70dcbd3e-71cd-4d9d-843d-d284735a3248","kafka-direct","4","30000","4","0","1","3000000","89.942","30002.2","21878.5","21807","38847","41375","162687","22.0","93.1","75.6","82.6","278","11","1","2490","791625","97B8934F34174460","301538","2698462","791625","0","29989.8","5.30","47.4","62.1","1380.1","1513.1","2.3","3.3","200.9","201.8","10","90","25fa684"
"2026-09-23T08:28:16.4904191+00:00","7e59cc0e-0a85-4bc2-b22c-c9bb057277d9","kafka-channels","4","30000","5","0","1","3000000","89.953","29999.6","21937.2","21951","39007","41439","85183","31.3","160.2","74.4","80.1","279","10","1","2491","791625","97B8934F34174460","301445","2698555","791625","0","29987.5","4.73","49.1","57.4","1407.5","1493.1","2.5","3.7","200.9","202.0","10","90","25fa684"
"2026-09-23T08:30:15.7368882+00:00","693ad854-666c-4159-9d27-335381b67cc9","rabbitmq-direct","4","20000","5","0","1","2000000","89.984","20000.1","1291.5","1036","2133","6915","40095","32.2","160.8","63.8","68.9","151","11","1","1356","527750","CF55C698510651DB","200315","1799685","527750","0","19999.8","36.87","213.4","222.1","142.6","200.5","2.5","3.9","200.7","201.4","10","90","25fa684"
"2026-09-23T08:32:18.3798267+00:00","d24b3fb4-0e6d-4cd4-b78d-f15d6094c4b1","kafka-channels","4","30000","1","0","1","3000000","89.939","30000.8","3397.5","3379","5683","5991","48127","35.3","204.0","75.7","80.1","278","10","1","2491","791625","97B8934F34174460","301751","2698249","791625","0","29999.6","5.18","44.9","53.3","1429.8","1489.0","2.5","3.9","201.0","202.0","10","90","25fa684"
"2026-09-23T08:34:17.7921589+00:00","6f81683a-99d8-4546-9f67-378355edd51d","rabbitmq-pipelines","4","30000","2","0","1","3000000","89.974","30002.8","1926.9","1483","3797","11159","36063","43.1","154.7","64.4","69.7","225","10","1","2017","791625","97B8934F34174460","300522","2699478","791625","0","29999.5","33.40","227.6","242.3","159.6","236.6","3.4","4.8","201.0","202.1","10","90","25fa684"
"2026-09-23T08:36:20.4410473+00:00","891d3cf7-206d-424c-9424-500b52e09b4e","kafka-direct","4","30000","3","0","1","3000000","89.973","29998.9","21758.6","21791","38815","41247","46559","21.1","111.5","75.0","78.9","278","11","1","2491","791625","97B8934F34174460","300899","2699101","791625","0","29987.5","9.93","49.8","57.1","1423.5","1555.4","2.5","3.5","201.2","202.2","10","90","25fa684"
"2026-09-23T08:38:19.8850716+00:00","d5f8490b-b5bb-480f-b3bd-f38480650392","rabbitmq-pipelines","4","30000","5","0","1","3000000","89.980","30000.8","1944.1","1496","3769","11719","35519","46.9","154.7","66.9","71.4","225","11","1","2017","791625","97B8934F34174460","300532","2699468","791625","0","29999.8","31.54","218.7","246.0","155.7","197.7","3.4","5.2","201.2","205.0","10","90","25fa684"
"2026-09-23T08:40:22.6895942+00:00","177f4767-4263-4aa0-9bf1-3507f7f8007c","kafka-pipelines","4","20000","1","0","1","2000000","89.949","20006.5","25246.6","25215","45311","48607","54623","26.6","105.1","75.8","79.9","186","10","1","1663","527750","CF55C698510651DB","200435","1799565","527750","0","19996.6","5.52","48.7","54.1","1416.5","1611.6","1.9","3.0","200.8","201.7","10","90","25fa684"
"2026-09-23T08:42:21.7730387+00:00","8b19e6e8-b975-48d9-853e-3351f65e80ba","rabbitmq-pipelines","4","20000","1","0","1","2000000","89.981","20000.2","1273.8","1047","2141","5911","42495","32.9","111.0","63.6","69.3","151","10","1","1357","527750","CF55C698510651DB","200349","1799651","527750","0","19999.8","28.94","212.1","221.4","144.0","197.8","2.4","3.5","200.9","201.6","10","90","25fa684"
"2026-09-23T08:44:20.8658746+00:00","2cd464ff-9caa-4ebb-83e7-6f76785ada57","rabbitmq-direct","4","10000","5","0","1","1000000","89.982","10000.1","926.0","820","1371","2491","40255","27.2","123.9","63.0","68.7","78","8","1","704","263875","0E72CBF60A5BBB63","100174","899826","263875","0","9999.9","24.62","196.0","202.9","145.7","213.5","1.5","2.4","200.4","201.1","10","90","25fa684"
"2026-09-23T08:46:23.7558156+00:00","d6a4d233-da34-4650-b167-d623cb521fb5","kafka-pipelines","4","20000","2","0","1","2000000","89.940","20000.8","3365.9","3367","5703","5987","12167","24.0","192.1","72.8","79.0","186","10","1","1664","527750","CF55C698510651DB","201127","1798873","527750","0","19999.7","4.89","47.7","71.7","1399.4","1455.4","1.9","3.1","201.0","201.5","10","90","25fa684"
"2026-09-23T08:48:22.8495437+00:00","b2644847-94a2-4566-87dd-d8c8f9988f75","rabbitmq-direct","4","10000","1","0","1","1000000","89.982","10000.1","910.2","815","1328","2115","36415","28.4","111.2","62.9","68.4","78","7","1","705","263875","0E72CBF60A5BBB63","100175","899825","263875","0","9999.9","23.11","193.3","204.6","144.9","208.2","1.5","2.2","200.5","201.0","10","90","25fa684"
"2026-09-23T08:50:22.1842717+00:00","1631f171-efe8-483c-a01a-c5dde7ef767c","rabbitmq-direct","4","20000","1","0","1","2000000","89.982","20000.2","1261.5","1036","2097","5807","42559","31.2","123.3","63.4","69.3","151","11","1","1357","527750","CF55C698510651DB","200348","1799652","527750","0","19999.8","37.89","210.6","220.2","145.8","222.3","2.4","3.5","201.3","205.7","10","90","25fa684"
"2026-09-23T08:52:24.9870632+00:00","79cd8a5f-7fc1-4fac-9065-517e1f194267","kafka-channels","4","5000","5","0","1","500000","89.940","5000.2","3497.9","3429","5939","6327","10743","13.2","111.5","71.8","76.6","46","4","1","420","131929","4B1DFA8C2E5A4D13","50281","449719","131929","0","4999.9","5.88","41.1","50.0","1387.7","1506.3","0.9","1.4","200.4","200.7","10","90","25fa684"
"2026-09-23T08:54:27.5561533+00:00","81c9ab47-5c8d-4e56-94bd-aa6cf938226e","kafka-direct","4","10000","2","0","1","1000000","89.945","10000.3","3384.9","3351","5783","6103","11687","12.6","81.0","74.0","78.5","93","8","1","834","263875","0E72CBF60A5BBB63","100523","899477","263875","0","9999.9","4.93","43.8","50.6","1358.2","1511.6","1.2","2.2","200.5","201.2","10","90","25fa684"
"2026-09-23T08:56:27.1289955+00:00","afea5384-57bf-4057-aa28-c422a5a825d2","rabbitmq-channels","4","20000","5","0","1","2000000","89.978","20000.3","1257.9","1046","2053","5811","41343","34.7","161.0","63.5","69.1","152","11","1","1358","527750","CF55C698510651DB","200412","1799588","527750","0","19999.9","36.80","211.5","223.2","151.3","219.1","2.4","4.2","200.8","202.2","10","90","25fa684"
"2026-09-23T08:58:26.2902395+00:00","35c762b0-c469-43a3-98a3-3cac475b33b8","rabbitmq-pipelines","4","20000","4","0","1","2000000","89.982","20000.2","1252.4","1035","2041","5795","45247","35.3","154.8","63.8","69.2","152","12","2","1357","527750","CF55C698510651DB","200348","1799652","527750","0","19999.8","42.71","212.8","221.7","143.2","212.5","2.4","3.7","200.9","201.6","10","90","25fa684"
"2026-09-23T09:00:25.3968588+00:00","59eb5d38-1faf-4f29-9848-f186b2c9e8b0","rabbitmq-direct","4","20000","4","0","1","2000000","89.985","20000.0","1225.3","1021","2000","5367","43647","32.3","123.3","63.6","69.0","151","11","1","1357","527750","CF55C698510651DB","200303","1799697","527750","0","19999.8","40.14","213.7","222.1","144.0","208.7","2.3","3.6","201.2","205.5","10","90","25fa684"
"2026-09-23T09:02:28.0196948+00:00","13281d89-9af5-46a1-a089-00a3faeb8c86","kafka-pipelines","4","20000","3","0","1","2000000","89.936","20000.8","3379.4","3381","5711","6003","11839","29.1","223.4","72.7","79.4","186","10","1","1663","527750","CF55C698510651DB","201214","1798786","527750","0","19997.7","4.94","47.4","55.6","1388.1","1538.1","2.0","3.1","200.9","201.5","10","90","25fa684"
"2026-09-23T09:04:30.8744965+00:00","5769d90b-ce8b-4b0e-8fb3-837186f4a58d","kafka-direct","4","5000","3","0","1","500000","89.944","5000.2","3486.6","3417","5923","6307","11351","9.8","80.4","70.7","76.2","46","4","1","420","131929","4B1DFA8C2E5A4D13","50264","449736","131929","0","4999.9","5.45","44.0","51.8","1376.0","1591.5","0.9","1.7","200.3","200.9","10","90","25fa684"
"2026-09-23T09:06:33.7104899+00:00","c2437130-400d-4a06-9873-b2fcba317bc5","kafka-pipelines","4","30000","1","0","1","3000000","89.942","30000.9","3368.7","3365","5663","5951","14599","33.2","198.7","73.0","79.6","278","10","1","2492","791625","97B8934F34174460","301665","2698335","791625","0","29999.6","5.58","43.3","70.1","1391.3","1440.2","2.4","3.6","201.2","202.1","10","90","25fa684"
"2026-09-23T09:08:36.3220010+00:00","5eb18db4-c9d5-4bdb-8f7c-ff8f37e9210e","kafka-channels","4","30000","3","0","1","3000000","89.938","30001.2","3365.6","3363","5667","5951","13975","32.1","204.3","72.9","79.7","278","10","1","2492","791625","97B8934F34174460","301738","2698262","791625","0","29999.6","4.68","47.9","54.2","1451.9","1583.8","2.6","3.7","201.2","202.3","10","90","25fa684"
"2026-09-23T09:10:35.5349665+00:00","7e7ab50a-182a-4675-86c6-75c962faff27","rabbitmq-channels","4","10000","4","0","1","1000000","89.981","10000.2","929.3","828","1370","2433","40223","30.6","117.3","63.5","68.9","78","7","1","705","263875","0E72CBF60A5BBB63","100175","899825","263875","0","9999.9","23.73","194.5","203.8","144.7","216.5","1.5","2.4","200.7","201.3","10","90","25fa684"
